supplier_name,invoice_no,invoice_date,total_amount_,paid_amount_,balance_amount_,tds,payment_ratio
CASH MEMO,MUSKAN BIRYANI,2025-04-01,840.0,840.0,0.0,0.0,1.0
SUPERWELD SOURCES PVT LTD,110/2526,2025-04-01,45953.0,45953.0,0.0,0.0,1.0
S.S. SALES & SERVICES,SS25-26/0001,2025-04-01,10053.6,0.0,10053.6,0.0,0.0
MAHARASHTRA HARDWARE,20059,2025-04-01,2714.0,2714.0,0.0,0.0,1.0
MAHARASHTRA HARDWARE,20077,2025-04-02,472.0,472.0,0.0,0.0,1.0
MAHARASHTRA HARDWARE,20083,2025-04-02,343.38,343.38,0.0,0.0,1.0
CASH MEMO,STAPM PAPER PURCHASED,2025-04-02,600.0,600.0,0.0,0.0,1.0
MAITRI METALS PVT. LTD.,MEG/V/0021/25-26,2025-04-02,30090.0,30090.0,0.0,0.0,1.0
INDIAN ELECTRICALS,IE/25-26/0005,2025-04-02,38930.56,38930.56,0.0,0.0,1.0
GRIND POWER SOLUTION,GPS/0008/25-26,2025-04-02,2183.0,2183.0,0.0,0.0,1.0
RISER TOOLS,RT/2025-26-1,2025-04-03,3069.18,3069.18,0.0,0.0,1.0
GEETA SURFACE COATINGS,28/2025-26,2025-04-04,110448.0,0.0,110448.0,0.0,0.0
ULTRAQUERY TECHNOLOGIES INDIA PVT LTD,UT/SL/25-26/14,2025-04-04,3811.16,0.0,3811.16,0.0,0.0
SHEKASA ENGINEERING,8/25/2026,2025-04-04,2059.1,0.0,2059.1,0.0,0.0
CASH MEMO,SHREYA TRANSPORT SERVICES-STS-0081/25-26,2025-04-05,1850.0,0.0,1850.0,0.0,0.0
MAHARASHTRA HARDWARE,20114,2025-04-05,1416.0,1416.0,0.0,0.0,1.0
SANGHVI INTERNATIONAL,SI/020/25-26,2025-04-05,14868.0,0.0,14868.0,0.0,0.0
SIDDHI ENTERPRISES,25-26/25,2025-04-05,13275.0,13275.0,0.0,0.0,1.0
RITIKA SALES,185,2025-04-05,3540.0,0.0,3540.0,0.0,0.0
MAITRI METALS PVT. LTD.,MEG/V/0083/25-26,2025-04-05,42480.0,42480.0,0.0,0.0,1.0
MAITRI METALS PVT. LTD.,MPD/25-26/0024,2025-04-05,159005.0,159005.0,0.0,0.0,1.0
CLASSIC LASER INDUSTRIES,19/25-26,2025-04-05,2820.16,0.0,2820.16,0.0,0.0
ESSTECH ENGINEERING,092,2025-04-05,15332.8,0.0,15332.8,0.0,0.0
NAYARA ENERGY,(DG-36.70 LTR)-D0138,2025-04-05,3323.55,3323.55,0.0,0.0,1.0
CASH MEMO,(PURCHASE RECHARGE-MAR),2025-04-05,202.0,202.0,0.0,0.0,1.0
CASH MEMO,(PURCHASE RECHARGE-APR),2025-04-05,202.0,202.0,0.0,0.0,1.0
CASH MEMO,(MARUTI COURIER-MUMBAI),2025-04-05,90.0,90.0,0.0,0.0,1.0
CASH MEMO,(PUJA NOVELTY),2025-04-05,300.0,300.0,0.0,0.0,1.0
EMPLOYEE PROVIDEND FUND ORGANISATION,'3152504006397,2025-04-06,57983.0,57983.0,0.0,0.0,1.0
GRIND POWER SOLUTION,GPS/0018/25-26,2025-04-06,5723.0,5723.0,0.0,0.0,1.0
GAURAV NDT SERVICES,GNS-25-26/006,2025-04-07,2501.6,0.0,2501.6,0.0,0.0
SUPERWELD SOURCES PVT LTD,935/2526,2025-04-07,8448.8,8448.8,0.0,0.0,1.0
NAYARA ENERGY,MH14KA1694)-D0175,2025-04-07,2772.0,2772.0,0.0,0.0,1.0
EQUIFAB INDIA PVT.LTD,EIPL-1/2025-26,2025-04-07,168504.0,0.0,168504.0,0.0,0.0
EQUIFAB INDIA PVT.LTD,EIPL-2/2025-26,2025-04-07,224436.0,0.0,224436.0,0.0,0.0
MASTERLUBE ENGINEERS PVT. LTD,MLEPL/008/25-26,2025-04-07,1860.86,0.0,1860.86,0.0,0.0
CASH MEMO,HR NO RECHARGE,2025-04-07,202.0,202.0,0.0,0.0,1.0
CASH MEMO,angle1500*80,2025-04-07,120.0,120.0,0.0,0.0,1.0
CASH MEMO,COFFEE PURCHASED,2025-04-08,100.0,100.0,0.0,0.0,1.0
POONA PIPES AND FITTINGS,216/25-26,2025-04-08,2876.84,0.0,2876.84,0.0,0.0
CASH MEMO,TIRANGA ELECTRONIC WEIGH BRIDGE-7726,2025-04-08,500.0,500.0,0.0,0.0,1.0
CASH MEMO,TIRANGA ELECTRONIC WEIGH BRIDGE-7723,2025-04-08,500.0,500.0,0.0,0.0,1.0
HI-TECH POLYMERS,HTP/25-26/00210,2025-04-08,212.4,212.4,0.0,0.0,1.0
SACHIN ELECTRIC & MOTER RWINDING,159,2025-04-08,2200.0,0.0,2200.0,0.0,0.0
MAULI ENTERPRISES,30/25-26,2025-04-08,2371.8,0.0,2371.8,0.0,0.0
S.S. SALES & SERVICES,SS25-26/0009,2025-04-08,21358.0,0.0,21358.0,0.0,0.0
PLATING ENGINEERING,19,2025-04-09,2392.03,0.0,2392.03,0.0,0.0
SANGHVI INTERNATIONAL,SI/031/25-26,2025-04-09,41842.8,0.0,41842.8,0.0,0.0
NEHA ENTERPRISES,NE-33/24-25,2025-04-09,2006.0,2006.0,0.0,0.0,1.0
CASH MEMO,CASH VOUCHER PURCHASED FOR EQUIFAB,2025-04-10,195.0,195.0,0.0,0.0,1.0
MASTERLUBE ENGINEERS PVT. LTD,MLEPL/011/25-26,2025-04-11,77993.28,0.0,77993.28,0.0,0.0
V4 CARO,3001792172,2025-04-11,1594.0,0.0,0.0,0.0,0.0
MAULI ENTERPRISES,26/25-26,2025-04-11,637.2,0.0,637.2,0.0,0.0
DHANSHREE ENTERPRISES,25-26/119,2025-04-11,4771.33,0.0,4771.33,0.0,0.0
SUPERWELD SOURCES PVT LTD,1384/2526,2025-04-11,4956.0,4956.0,0.0,0.0,1.0
MAHARASHTRA HARDWARE,20208,2025-04-11,495.6,495.6,0.0,0.0,1.0
ESIC-EMPLOYEES STATE INSURANCE CORPORATION,0036834419,2025-04-11,8380.0,8380.0,0.0,0.0,1.0
CASH MEMO,8183,2025-04-12,500.0,500.0,0.0,0.0,1.0
